BH_mass, core_radius_pc
88109992.03212328, 18.83362427570607
467694091.99308735, 17.11123959303877
861645448.7534226, 24.267380862080724
195122082.29942566, 20.497922784266056
193365370.71143773, 24.077939717389956
106665709.61047304, 34.20664447222202
307200793.3609001, 27.016233199471937
323559128.41012114, 36.109135714475
667834749.7155843, 50.42249620087195
722047084.9296219, 69.05032979304976
401754020.6977221, 103.78918294104245
337240896.34574676, 119.8644645648027
108397125.17129762, 70.60451347986064
937931011.9742167, 93.13913900756144
1353410076.1969025, 109.62195947884848
1713726930.6524353, 103.74321144786222
2306249284.9979296, 112.61626268961909
638142418.6570703, 129.30391063167227
1144984803.5328186, 206.8904346849338
1316056996.5869062, 278.8869661585389
1568197834.8268158, 212.29822448670518
4714782575.997846, 244.84668783932972
9480800707.673725, 320.5309865696341
3623651171.579947, 429.58580520045416
399416304.91926914, 2248.0353502260455
373325193.54964596, 650.4107707720776
488805481.0105628, 1344.2713147370139
783252423.3400743, 1648.0616920631633
870230892.385456, 1305.6137654816046
1074564991.9613628, 697.5379773705203
1927357148.658139, 1343.1217751832432
1345802138.119042, 2138.4274016900627
4771882993.825536, 4302.06431213797
5397241170.980024, 2809.588478685002
5555773291.283224, 665.0197267169
19373497598.904198, 880.1581917914497
16853622015.573593, 685.2542563392033
395185888.1334841, 61.49528514650036
446756784.82228863, 51.96304983046775
416585637.6276292, 52.3638861105502